"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"111",9,951,24.9316208803172,72.2241263100589,41.9133405503622,-88.0363837463032,448,602,-0.130612184026003,0.000214144182438735,7.26060495150859e-05,448,907,0,0,0,"bepridil",10
"112",10,960,24.1392505193127,72.1247766567461,41.8584550096607,-88.0378841382269,457,618,-0.121312797771481,0.000211935914460124,7.23656957257678e-05,458,920,0,0,0,"bepridil",10
"113",15,973,22.1537274923754,71.5950486896224,41.5018997809123,-88.0443775129479,493,679,-0.0895459406978409,0.000203268445455137,7.13729751511866e-05,505,974,0,0,0,"bepridil",10
"114",20,954,21.943932155504,71.0247146011222,41.0847228425358,-88.0497367296686,521,725,-0.0714661797241452,0.000197324402319423,7.06405403089069e-05,541,1014,0,0,0,"bepridil",10
"115",25,890,22.5663463923384,70.4249487690303,40.6514055990921,-88.0543781010571,544,760,-0.060440929738944,0.000193104063962706,7.00885864760368e-05,568,1044,0,0,0,"bepridil",10
"116",1,979,51.9121358058322,72.841106518275,41.6622235568593,-88.0178524447311,302,374,-0.284439971264169,0.000239975365220673,7.48992349787851e-05,331,755,0,0,0,"bepridil",11
"117",2,987,43.4878232719132,72.767839752924,41.7305665418882,-88.020976956056,336,423,-0.247191190401911,0.00023730229850693,7.47488142046449e-05,352,778,0,0,0,"bepridil",11
"118",3,960,38.0666887393926,72.6830742444447,41.8847762822463,-88.0237083905177,361,460,-0.224621959338744,0.000233878298813916,7.44777298644597e-05,369,799,0,0,0,"bepridil",11
"119",4,893,34.2211653093812,72.5911529203615,41.9683455345053,-88.0261209919138,380,489,-0.210213788855288,0.0002303810244603,7.41722058425637e-05,383,819,0,0,0,"bepridil",11
"120",5,918,31.3469969510049,72.4935454504197,42.0066659482361,-88.0282989955487,396,514,-0.199999796203168,0.000227018141940257,7.38617814017341e-05,395,836,0,0,0,"bepridil",11
"121",6,896,29.1345314006831,72.3921060262035,42.0135898983275,-88.0302893994229,409,536,-0.181145433844776,0.000223880810517368,7.35610649657251e-05,407,853,0,0,0,"bepridil",11
"122",7,969,27.3952843970316,72.2866300186297,42.0001106149395,-88.0321452266284,421,556,-0.164263692433682,0.000220969150301852,7.32734678395158e-05,418,869,0,0,0,"bepridil",11
"123",8,844,26.0139572205176,72.1786450883517,41.9687841010546,-88.0338671456237,432,573,-0.150739464646059,0.000218290481170105,7.30024718011439e-05,427,882,0,0,0,"bepridil",11
"124",9,818,24.912282977946,72.0674662105782,41.9263437307208,-88.0354822711345,441,589,-0.139622753273418,0.000215822323697482,7.27473115258969e-05,437,895,0,0,0,"bepridil",11
"125",10,946,24.0323944124828,71.9545683051462,41.8737047850533,-88.0370131376504,450,604,-0.130262606526409,0.000213544481079642,7.25075670154475e-05,447,908,0,0,0,"bepridil",11
"126",15,849,21.8012283668227,71.3628780661903,41.5188714636082,-88.0437316662677,484,662,-0.0987623922056022,0.000204487438993558,7.15108148954475e-05,490,958,0,0,0,"bepridil",11
"127",20,846,21.611184524149,70.7396598300367,41.0872230461799,-88.0494229144634,509,703,-0.0811954599724545,0.000198142853731068,7.07687595959096e-05,522,994,0,0,0,"bepridil",11
"128",25,997,22.4276773128392,70.095498196574,40.626108130329,-88.0544663388455,529,733,-0.0706819774873797,0.000193535591883669,7.02035616751939e-05,546,1021,0,0,0,"bepridil",11
"129",1,1000,59.2319685742939,72.8901496872169,41.4103799081943,-88.0225990813558,280,346,-0.306934970262761,0.000222101698584552,7.36658036515073e-05,334,763,0,0,0,"bepridil",12
"130",2,883,50.7626767229381,72.8680879646242,41.3299116020252,-88.0261506197599,315,393,-0.264308421429399,0.000217852835582245,7.34703818485152e-05,357,787,0,0,0,"bepridil",12
"131",3,888,44.6626258498287,72.8350111778697,41.3650779465284,-88.029130068678,342,431,-0.238637976944496,0.000214146123579619,7.32228238080403e-05,376,808,0,0,0,"bepridil",12
"132",4,786,40.1089147881678,72.7942224018047,41.4698266074977,-88.0317200771293,364,464,-0.219843300545084,0.000210712964957737,7.29458360542829e-05,394,828,0,0,0,"bepridil",12
"133",5,939,36.6122104425944,72.7462300540406,41.5322546421643,-88.0340145407587,382,492,-0.206079449372601,0.000207554722330132,7.26617617096746e-05,411,847,0,0,0,"bepridil",12
"134",6,974,33.8660532266468,72.6918917173431,41.5634933042669,-88.036088211234,398,517,-0.196313699632393,0.000204661323828131,7.23813992975114e-05,425,864,0,0,0,"bepridil",12
"135",7,781,31.6783200375557,72.6333370171246,41.570442076742,-88.0379660955781,412,539,-0.179176923489503,0.000202031520480275,7.21124533802372e-05,440,880,0,0,0,"bepridil",12
"136",8,953,29.9174903996765,72.5709163026617,41.5588597415751,-88.0396978153323,424,558,-0.162534553950262,0.000199638921814421,7.18571614182693e-05,453,896,0,0,0,"bepridil",12
"137",9,956,28.4908308616356,72.5045391167911,41.5334856470641,-88.0413036006415,436,577,-0.149062220007133,0.000197463647781766,7.16167422749397e-05,465,909,0,0,0,"bepridil",12
"138",10,965,27.3310884264941,72.4345658229527,41.4965917126865,-88.0428091057471,446,593,-0.137924030874678,0.00019548909170614,7.13917833111796e-05,477,923,0,0,0,"bepridil",12
"139",15,978,24.1478508981076,72.0442287029199,41.2047454126481,-88.0492076583018,486,659,-0.101563253494456,0.000187885676598684,7.04638635548903e-05,526,977,0,0,0,"bepridil",12
"140",20,889,23.4044543109911,71.5978240952368,40.8224330458683,-88.0544590217116,515,707,-0.0813446916502065,0.000182900268869911,6.97922146810701e-05,561,1017,0,0,0,"bepridil",12
"141",25,999,23.8468763766322,71.1071383945448,40.40539892731,-88.0590115355988,539,742,-0.0690632390638237,0.000179519955254986,6.92951854088633e-05,587,1045,0,0,0,"bepridil",12
"142",1,763,53.1433964542014,72.9154607448427,41.7323821782617,-88.0178683980514,298,369,-0.287415207118597,0.000238773856194677,7.48403472122464e-05,331,754,0,0,0,"bepridil",13
"143",2,901,44.8936723623727,72.9110652979439,41.7236934205317,-88.0211589773474,332,418,-0.249340983799207,0.000235317553972908,7.46703358828862e-05,352,778,0,0,0,"bepridil",13
"144",3,990,39.6231074849759,72.8907091138602,41.8836650930524,-88.0240873943943,357,455,-0.226994835991725,0.000231169646999416,7.437493689457e-05,370,800,0,0,0,"bepridil",13
"145",4,942,35.9394976512719,72.8588040646501,41.969805727898,-88.0267019841184,376,485,-0.211877415335097,0.000227020304097696,7.40416955729038e-05,386,820,0,0,0,"bepridil",13
"146",5,867,33.2394206786132,72.8173344572517,42.0084133987926,-88.0290391784782,393,510,-0.20123339708717,0.000223091610260731,7.37042507022061e-05,401,839,0,0,0,"bepridil",13
"147",6,758,31.2014619182344,72.7683690920817,42.0133155069176,-88.0311964647744,406,532,-0.183390737820415,0.000219473464222855,7.33785341177123e-05,414,856,0,0,0,"bepridil",13
"148",7,899,29.6363372728042,72.712566670167,41.9962420995874,-88.0331862080214,418,552,-0.1660041581344,0.000216155083323255,7.30687452381308e-05,427,872,0,0,0,"bepridil",13
